Run,C,Polynom rank,Total,Successes,False neg.,False pos.,% Success,% False neg,% False pos,Class,,,,,
58,0.01,11,15000,13340,136,1524,88.93333333,0.906666667,10.16,1,,,,,
48,1,11,15000,13337,112,1551,88.91333333,0.746666667,10.34,1,,Linear:,,,
43,10,11,15000,13329,94,1577,88.86,0.626666667,10.51333333,1,,Run,% Success,% False neg,% False pos
38,100,11,15000,13326,134,1540,88.84,0.893333333,10.26666667,1,,1,27.8,69.88,2.32
25,10,7,15000,13320,50,1630,88.8,0.333333333,10.86666667,1,,,,,
49,1,12,15000,13294,28,1678,88.62666667,0.186666667,11.18666667,1,,,,,
42,10,10,15000,13285,1,1714,88.56666667,0.006666667,11.42666667,1,,,,,
44,10,12,15000,13285,10,1705,88.56666667,0.066666667,11.36666667,1,,,,,
52,0.1,10,15000,13285,0,1715,88.56666667,0,11.43333333,1,,,,,
11,1,4,15000,13284,0,1716,88.56,0,11.44,1,,,,,
21,100,6,15000,13284,0,1716,88.56,0,11.44,1,,,,,
22,100,7,15000,13284,0,1716,88.56,0,11.44,1,,,,,
24,10,6,15000,13284,0,1716,88.56,0,11.44,1,,,,,
26,1,5,15000,13284,0,1716,88.56,0,11.44,1,,,,,
27,1,6,15000,13284,0,1716,88.56,0,11.44,1,,,,,
28,1,7,15000,13284,0,1716,88.56,0,11.44,1,,,,,
29,0.1,5,15000,13284,0,1716,88.56,0,11.44,1,,,,,
30,0.1,6,15000,13284,0,1716,88.56,0,11.44,1,,,,,
31,0.1,7,15000,13284,0,1716,88.56,0,11.44,1,,,,,
32,0.01,5,15000,13284,0,1716,88.56,0,11.44,1,,,,,
34,0.01,7,15000,13284,0,1716,88.56,0,11.44,1,,,,,
35,100,8,15000,13284,0,1716,88.56,0,11.44,1,,,,,
36,100,9,15000,13284,1,1715,88.56,0.006666667,11.43333333,1,,,,,
37,100,10,15000,13284,0,1716,88.56,0,11.44,1,,,,,
39,100,12,15000,13284,0,1716,88.56,0,11.44,1,,,,,
40,10,8,15000,13284,0,1716,88.56,0,11.44,1,,,,,
41,10,9,15000,13284,0,1716,88.56,0,11.44,1,,,,,
45,1,8,15000,13284,0,1716,88.56,0,11.44,1,,,,,
46,1,9,15000,13284,0,1716,88.56,0,11.44,1,,,,,
47,1,10,15000,13284,0,1716,88.56,0,11.44,1,,,,,
50,0.1,8,15000,13284,0,1716,88.56,0,11.44,1,,,,,
51,0.1,9,15000,13284,0,1716,88.56,0,11.44,1,,,,,
55,0.01,8,15000,13284,0,1716,88.56,0,11.44,1,,,,,
56,0.01,9,15000,13284,0,1716,88.56,0,11.44,1,,,,,
54,0.1,12,15000,13283,45,1672,88.55333333,0.3,11.14666667,1,,,,,
57,0.01,10,15000,13283,1,1716,88.55333333,0.006666667,11.44,1,,,,,
59,0.01,12,15000,13241,198,1561,88.27333333,1.32,10.40666667,1,,,,,
53,0.1,11,15000,12308,1550,1142,82.05333333,10.33333333,7.613333333,1,,,,,
19,0.01,4,15000,11521,2885,594,76.80666667,19.23333333,3.96,1,,,,,
15,0.1,4,15000,11350,3063,587,75.66666667,20.42,3.913333333,1,,,,,
18,0.01,3,15000,11218,3206,576,74.78666667,21.37333333,3.84,1,,,,,
10,1,3,15000,11205,3284,511,74.7,21.89333333,3.406666667,1,,,,,
33,0.01,6,15000,11110,3339,551,74.06666667,22.26,3.673333333,1,,,,,
14,0.1,3,15000,11105,3420,475,74.03333333,22.8,3.166666667,1,,,,,
1,100,2,15000,10976,3590,434,73.17333333,23.93333333,2.893333333,1,,,,,
5,10,2,15000,9938,4761,301,66.25333333,31.74,2.006666667,1,,,,,
13,0.1,2,15000,9915,4701,384,66.1,31.34,2.56,1,,,,,
17,0.01,2,15000,9722,4902,376,64.81333333,32.68,2.506666667,1,,,,,
16,0.01,1,15000,9687,5064,249,64.58,33.76,1.66,1,,,,,
6,10,3,15000,9592,5043,365,63.94666667,33.62,2.433333333,1,,,,,
9,1,2,15000,9113,5603,284,60.75333333,37.35333333,1.893333333,1,,,,,
8,1,1,15000,8291,6572,137,55.27333333,43.81333333,0.913333333,1,,,,,
23,10,5,15000,7749,6783,468,51.66,45.22,3.12,1,,,,,
4,10,1,15000,7735,7144,121,51.56666667,47.62666667,0.806666667,1,,,,,
7,10,4,15000,7725,6933,342,51.5,46.22,2.28,1,,,,,
12,0.1,1,15000,7557,7331,112,50.38,48.87333333,0.746666667,1,,,,,
0,100,1,15000,6412,8520,68,42.74666667,56.8,0.453333333,1,,,,,
20,100,5,15000,6263,8397,340,41.75333333,55.98,2.266666667,1,,,,,
2,100,3,15000,5982,8775,243,39.88,58.5,1.62,1,,,,,
3,100,4,15000,5208,9553,239,34.72,63.68666667,1.593333333,1,,,,,
