Run,C,sigma,Total,Successes,False neg.,False pos.,% Success,% False neg,% False pos,Class
20,10,1,15000,13359,115,1526,89.06,0.77,10.17,1
13,100,1,15000,13344,277,1379,88.96,1.85,9.19,1
27,1,1,15000,13314,323,1363,88.76,2.15,9.09,1
19,10,0.75,15000,13298,444,1258,88.65333333,2.96,8.39,1
0,1000,0.0001,15000,13284,0,1716,88.56,0.00,11.44,1
7,100,0.0001,15000,13284,0,1716,88.56,0.00,11.44,1
14,10,0.0001,15000,13284,0,1716,88.56,0.00,11.44,1
21,1,0.0001,15000,13284,0,1716,88.56,0.00,11.44,1
28,0.0005,0.0001,15000,13284,0,1716,88.56,0.00,11.44,1
1,1000,0.001,15000,13282,3,1715,88.54666667,0.02,11.43,1
8,100,0.001,15000,13282,3,1715,88.54666667,0.02,11.43,1
15,10,0.001,15000,13282,3,1715,88.54666667,0.02,11.43,1
22,1,0.001,15000,13282,3,1715,88.54666667,0.02,11.43,1
29,0.0005,0.001,15000,13282,3,1715,88.54666667,0.02,11.43,1
26,1,0.75,15000,13279,399,1322,88.52666667,2.66,8.81,1
34,0.0005,1,15000,13212,534,1254,88.08,3.56,8.36,1
25,1,0.5,15000,13049,780,1171,86.99333333,5.20,7.81,1
2,1000,0.01,15000,12779,708,1513,85.19333333,4.72,10.09,1
9,100,0.01,15000,12779,708,1513,85.19333333,4.72,10.09,1
16,10,0.01,15000,12779,708,1513,85.19333333,4.72,10.09,1
23,1,0.01,15000,12779,708,1513,85.19333333,4.72,10.09,1
30,0.0005,0.01,15000,12776,711,1513,85.17333333,4.74,10.09,1
18,10,0.5,15000,12415,1724,861,82.76666667,11.49,5.74,1
31,0.0005,0.1,15000,12201,1621,1178,81.34,10.81,7.85,1
24,1,0.1,15000,12142,1684,1174,80.94666667,11.23,7.83,1
3,1000,0.1,15000,12112,1717,1171,80.74666667,11.45,7.81,1
10,100,0.1,15000,12112,1717,1171,80.74666667,11.45,7.81,1
17,10,0.1,15000,12112,1717,1171,80.74666667,11.45,7.81,1
33,0.0005,0.75,15000,12074,1848,1078,80.49333333,12.32,7.19,1
12,100,0.75,15000,12025,2308,667,80.16666667,15.39,4.45,1
32,0.0005,0.5,15000,11973,2088,939,79.82,13.92,6.26,1
4,1000,0.5,15000,11675,2592,733,77.83333333,17.28,4.89,1
11,100,0.5,15000,11670,2594,736,77.8,17.29,4.91,1
5,1000,0.75,15000,8747,5850,403,58.31333333,39.00,2.69,1
6,1000,1,15000,6311,8477,212,42.07333333,56.51,1.41,1
