,C,sigma,Total,Successes,False neg.,False pos.,% Success,% False neg,% False pos,Class
0,1.00E-05,0.0001,15000,11471,0,3529,76.47333333,0,23.52666667,1
1,1.00E-05,0.001,15000,14266,0,734,95.10666667,0,4.893333333,1
2,1.00E-05,0.01,15000,14804,43,153,98.69333333,0.286666667,1.02,1
3,1.00E-05,0.1,15000,14848,57,95,98.98666667,0.38,0.633333333,1
4,1.00E-05,0.5,15000,14849,3,148,98.99333333,0.02,0.986666667,1
5,1.00E-05,0.75,15000,6292,8,8700,41.94666667,0.053333333,58,1
6,1.00E-05,1,15000,14830,0,170,98.86666667,0,1.133333333,1
7,0.001,0.0001,15000,11471,0,3529,76.47333333,0,23.52666667,1
8,0.001,0.001,15000,14266,0,734,95.10666667,0,4.893333333,1
9,0.001,0.01,15000,14804,44,152,98.69333333,0.293333333,1.013333333,1
10,0.001,0.1,15000,14848,57,95,98.98666667,0.38,0.633333333,1
11,0.001,0.5,15000,14855,6,139,99.03333333,0.04,0.926666667,1
12,0.001,0.75,15000,14825,8,167,98.83333333,0.053333333,1.113333333,1
13,0.001,1,15000,14828,1,171,98.85333333,0.006666667,1.14,1
14,0.1,0.0001,15000,11471,0,3529,76.47333333,0,23.52666667,1
15,0.1,0.001,15000,14267,0,733,95.11333333,0,4.886666667,1
16,0.1,0.01,15000,14805,44,151,98.7,0.293333333,1.006666667,1
17,0.1,0.1,15000,14847,58,95,98.98,0.386666667,0.633333333,1
18,0.1,0.5,15000,14877,6,117,99.18,0.04,0.78,1
19,0.1,0.75,15000,14827,4,169,98.84666667,0.026666667,1.126666667,1
20,0.1,1,15000,14824,2,174,98.82666667,0.013333333,1.16,1
21,1,0.0001,15000,11471,0,3529,76.47333333,0,23.52666667,1
22,1,0.001,15000,14268,0,732,95.12,0,4.88,1
23,1,0.01,15000,14805,44,151,98.7,0.293333333,1.006666667,1
24,1,0.1,15000,14882,63,55,99.21333333,0.42,0.366666667,1
25,1,0.5,15000,14852,50,98,99.01333333,0.333333333,0.653333333,1
26,1,0.75,15000,14876,17,107,99.17333333,0.113333333,0.713333333,1
27,1,1,15000,14842,4,154,98.94666667,0.026666667,1.026666667,1
28,10,0.0001,15000,11471,0,3529,76.47333333,0,23.52666667,1
29,10,0.001,15000,14268,0,732,95.12,0,4.88,1
30,10,0.01,15000,14805,44,151,98.7,0.293333333,1.006666667,1
31,10,0.1,15000,14882,65,53,99.21333333,0.433333333,0.353333333,1
32,10,0.5,15000,14847,65,88,98.98,0.433333333,0.586666667,1
33,10,0.75,15000,14846,50,104,98.97333333,0.333333333,0.693333333,1
34,10,1,15000,14858,21,121,99.05333333,0.14,0.806666667,1
